pass 1, stk 0, steps 152, max0 49, max1 51
pass 1, stk 0, steps 153, max0 49, max1 51
pass 1, stk 0, steps 154, max0 48, max1 52
pass 1, stk 0, steps 155, max0 48, max1 52
pass 1, stk 0, steps 156, max0 48, max1 52
pass 1, stk 0, steps 157, max0 48, max1 52
pass 1, stk 0, steps 158, max0 48, max1 52
pass 1, stk 0, steps 160, max0 47, max1 53
pass 1, stk 0, steps 161, max0 47, max1 53
pass 1, stk 0, steps 162, max0 47, max1 53
pass 1, stk 0, steps 163, max0 46, max1 54
pass 1, stk 0, steps 164, max0 46, max1 54
pass 1, stk 0, steps 166, max0 45, max1 55
pass 1, stk 0, steps 167, max0 45, max1 55
pass 1, stk 0, steps 169, max0 44, max1 56
pass 1, stk 0, steps 170, max0 44, max1 56
pass 1, stk 0, steps 171, max0 43, max1 57
pass 1, stk 0, steps 172, max0 43, max1 57
pass 1, stk 0, steps 173, max0 43, max1 57
pass 1, stk 0, steps 175, max0 42, max1 58
pass 1, stk 0, steps 176, max0 42, max1 58
pass 1, stk 0, steps 177, max0 41, max1 59
pass 1, stk 0, steps 178, max0 41, max1 59
pass 1, stk 0, steps 179, max0 41, max1 59
pass 1, stk 0, steps 181, max0 40, max1 60
pass 1, stk 0, steps 182, max0 40, max1 60
pass 1, stk 0, steps 183, max0 39, max1 61
pass 1, stk 0, steps 184, max0 39, max1 61
pass 1, stk 0, steps 186, max0 38, max1 62
pass 1, stk 0, steps 187, max0 38, max1 62
pass 1, stk 0, steps 189, max0 37, max1 63
pass 1, stk 0, steps 190, max0 37, max1 63
pass 1, stk 0, steps 191, max0 37, max1 63
pass 1, stk 0, steps 192, max0 36, max1 64
pass 1, stk 0, steps 193, max0 36, max1 64
pass 1, stk 0, steps 194, max0 36, max1 64
pass 1, stk 0, steps 195, max0 36, max1 64
pass 1, stk 0, steps 197, max0 35, max1 65
pass 1, stk 0, steps 198, max0 35, max1 65
pass 1, stk 0, steps 199, max0 35, max1 65
pass 1, stk 0, steps 200, max0 34, max1 66
pass 1, stk 0, steps 201, max0 34, max1 66
pass 1, stk 0, steps 202, max0 33, max1 67
pass 1, stk 0, steps 203, max0 33, max1 67
pass 1, stk 0, steps 205, max0 32, max1 68
pass 1, stk 0, steps 206, max0 32, max1 68
pass 1, stk 0, steps 207, max0 32, max1 68
pass 1, stk 0, steps 209, max0 31, max1 69
pass 1, stk 0, steps 210, max0 31, max1 69
pass 1, stk 0, steps 211, max0 30, max1 70
pass 1, stk 0, steps 212, max0 29, max1 71
pass 1, stk 0, steps 213, max0 29, max1 71
pass 1, stk 0, steps 215, max0 28, max1 72
pass 1, stk 0, steps 216, max0 28, max1 72
pass 1, stk 0, steps 218, max0 27, max1 73
pass 1, stk 0, steps 219, max0 27, max1 73
pass 1, stk 0, steps 221, max0 26, max1 74
pass 1, stk 0, steps 222, max0 26, max1 74
pass 1, stk 0, steps 223, max0 25, max1 75
pass 1, stk 0, steps 224, max0 25, max1 75
pass 1, stk 0, steps 225, max0 24, max1 76
pass 1, stk 0, steps 226, max0 24, max1 76
pass 1, stk 0, steps 228, max0 23, max1 77
pass 1, stk 0, steps 229, max0 23, max1 77
pass 1, stk 0, steps 230, max0 22, max1 78
pass 1, stk 0, steps 231, max0 22, max1 78
pass 1, stk 0, steps 232, max0 21, max1 79
pass 1, stk 0, steps 233, max0 21, max1 79
pass 1, stk 0, steps 235, max0 20, max1 80
pass 1, stk 0, steps 236, max0 20, max1 80
pass 1, stk 0, steps 238, max0 19, max1 81
pass 1, stk 0, steps 239, max0 19, max1 81
pass 1, stk 0, steps 240, max0 18, max1 82
pass 1, stk 0, steps 241, max0 18, max1 82
pass 1, stk 0, steps 242, max0 18, max1 82
pass 1, stk 0, steps 243, max0 18, max1 82
pass 1, stk 0, steps 245, max0 17, max1 83
pass 1, stk 0, steps 246, max0 17, max1 83
pass 1, stk 0, steps 247, max0 16, max1 84
pass 1, stk 0, steps 248, max0 16, max1 84
pass 1, stk 0, steps 249, max0 15, max1 85
pass 1, stk 0, steps 251, max0 14, max1 86
pass 1, stk 0, steps 253, max0 13, max1 87
pass 1, stk 0, steps 254, max0 12, max1 88
pass 1, stk 0, steps 255, max0 12, max1 88
pass 1, stk 0, steps 257, max0 11, max1 89
pass 1, stk 0, steps 258, max0 11, max1 89
pass 1, stk 0, steps 259, max0 10, max1 90
pass 1, stk 0, steps 260, max0 10, max1 90
pass 1, stk 0, steps 262, max0 9, max1 91
pass 1, stk 0, steps 263, max0 9, max1 91
pass 1, stk 0, steps 264, max0 8, max1 92
pass 1, stk 0, steps 265, max0 8, max1 92
pass 1, stk 0, steps 267, max0 7, max1 93
pass 1, stk 0, steps 268, max0 7, max1 93
pass 1, stk 0, steps 269, max0 6, max1 94
pass 1, stk 0, steps 270, max0 6, max1 94
pass 2, stk 1, steps 272, max0 5, max1 95
pass 2, stk 1, steps 273, max0 5, max1 95
pass 2, stk 1, steps 274, max0 5, max1 95
pass 2, stk 1, steps 275, max0 5, max1 95
pass 2, stk 1, steps 276, max0 6, max1 94
pass 2, stk 1, steps 278, max0 7, max1 93
pass 2, stk 1, steps 279, max0 7, max1 93
pass 2, stk 1, steps 280, max0 8, max1 92
pass 2, stk 1, steps 281, max0 8, max1 92
pass 2, stk 1, steps 282, max0 8, max1 92
pass 2, stk 1, steps 283, max0 8, max1 92
pass 2, stk 1, steps 284, max0 8, max1 92
pass 2, stk 1, steps 285, max0 8, max1 92
pass 2, stk 1, steps 286, max0 8, max1 92
pass 2, stk 1, steps 287, max0 8, max1 92
pass 2, stk 1, steps 288, max0 8, max1 92
pass 2, stk 1, steps 290, max0 9, max1 91
pass 2, stk 1, steps 291, max0 9, max1 91
pass 2, stk 1, steps 292, max0 10, max1 90
pass 2, stk 1, steps 293, max0 10, max1 90
pass 2, stk 1, steps 294, max0 10, max1 90
pass 2, stk 1, steps 295, max0 10, max1 90
pass 2, stk 1, steps 296, max0 10, max1 90
pass 2, stk 1, steps 297, max0 10, max1 90
pass 2, stk 1, steps 298, max0 10, max1 90
pass 2, stk 1, steps 299, max0 10, max1 90
pass 2, stk 1, steps 300, max0 10, max1 90
